time,temperature_2m,relative_humidity_2m,dew_point_2m,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,wind_speed_10m,wind_gusts_10m,precipitation,pressure_msl
2025-03-05 00:00:00+00:00,-0.4,100,-0.4,97,97,0,0,0.0,0.0,0.0,0.0,0.2,2.2,0.0,1024.8
2025-03-05 01:00:00+00:00,-0.9,100,-0.9,98,98,0,0,0.0,0.0,0.0,0.0,0.7,3.6,0.0,1024.6
2025-03-05 02:00:00+00:00,-1.2,100,-1.2,100,100,0,0,0.0,0.0,0.0,0.0,1.5,2.5,0.0,1024.2
2025-03-05 03:00:00+00:00,-2.0,100,-2.0,100,100,0,0,0.0,0.0,0.0,0.0,3.7,5.8,0.0,1023.9
2025-03-05 04:00:00+00:00,-1.6,100,-1.6,100,100,0,0,0.0,0.0,0.0,0.0,4.7,10.4,0.0,1024.0
2025-03-05 05:00:00+00:00,-1.5,100,-1.6,100,100,0,0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,1023.8
2025-03-05 06:00:00+00:00,-0.9,100,-0.9,100,100,0,0,0.0,0.0,0.0,0.0,4.8,9.7,0.0,1023.6
2025-03-05 07:00:00+00:00,-0.6,99,-0.7,100,100,0,0,1.0,0.0,0.0,1.0,3.6,9.4,0.0,1023.6
2025-03-05 08:00:00+00:00,0.6,99,0.5,100,100,0,0,38.0,3.0,26.0,35.0,1.5,7.6,0.0,1024.2
2025-03-05 09:00:00+00:00,3.2,98,2.8,100,100,0,0,129.0,29.0,110.4,100.0,2.7,9.7,0.0,1024.1
2025-03-05 10:00:00+00:00,4.9,98,4.6,100,100,0,0,194.0,29.0,75.0,165.0,3.7,12.2,0.0,1023.8
2025-03-05 11:00:00+00:00,7.6,88,5.8,99,99,0,0,314.0,93.0,194.2,221.0,4.5,14.4,0.0,1023.6
2025-03-05 12:00:00+00:00,9.6,79,6.1,33,33,0,0,364.0,117.0,219.5,247.0,5.7,16.6,0.0,1023.1
2025-03-05 13:00:00+00:00,11.0,77,7.2,3,3,0,0,540.0,440.0,806.6,100.0,4.3,15.1,0.0,1022.3
2025-03-05 14:00:00+00:00,12.2,69,6.7,1,1,0,0,510.0,426.0,826.6,84.0,6.6,18.4,0.0,1021.6
2025-03-05 15:00:00+00:00,12.6,60,5.1,0,0,0,0,427.0,350.0,786.9,77.0,7.9,19.8,0.0,1021.0
2025-03-05 16:00:00+00:00,12.0,60,4.4,0,0,0,0,307.0,239.0,706.0,68.0,7.7,19.4,0.0,1020.7
2025-03-05 17:00:00+00:00,10.4,69,5.1,0,0,0,0,162.0,112.0,549.5,50.0,5.9,17.3,0.0,1020.5
2025-03-05 18:00:00+00:00,8.2,78,4.7,0,0,0,0,32.0,16.0,196.9,16.0,7.2,12.6,0.0,1020.5
2025-03-05 19:00:00+00:00,6.8,86,4.6,1,1,0,0,0.0,0.0,0.0,0.0,7.4,13.3,0.0,1020.6
2025-03-05 20:00:00+00:00,5.7,91,4.2,1,1,0,0,0.0,0.0,0.0,0.0,7.9,13.7,0.0,1020.4
2025-03-05 21:00:00+00:00,5.1,92,3.8,1,1,0,0,0.0,0.0,0.0,0.0,8.5,14.8,0.0,1020.1
2025-03-05 22:00:00+00:00,4.8,92,3.5,0,0,0,0,0.0,0.0,0.0,0.0,8.2,15.5,0.0,1019.6
2025-03-05 23:00:00+00:00,4.8,90,3.3,0,0,0,0,0.0,0.0,0.0,0.0,8.4,14.4,0.0,1019.0
2025-03-06 00:00:00+00:00,4.8,90,3.2,0,0,0,0,0.0,0.0,0.0,0.0,9.6,16.6,0.0,1018.5
2025-03-06 01:00:00+00:00,4.3,88,2.5,0,0,0,0,0.0,0.0,0.0,0.0,9.2,15.8,0.0,1018.2
2025-03-06 02:00:00+00:00,4.5,86,2.3,0,0,0,0,0.0,0.0,0.0,0.0,9.2,15.8,0.0,1017.5
2025-03-06 03:00:00+00:00,4.8,85,2.5,0,0,0,0,0.0,0.0,0.0,0.0,9.2,15.8,0.0,1016.5
2025-03-06 04:00:00+00:00,5.1,88,3.2,0,0,0,0,0.0,0.0,0.0,0.0,9.5,16.2,0.0,1015.9
2025-03-06 05:00:00+00:00,5.1,90,3.6,0,0,0,0,0.0,0.0,0.0,0.0,9.4,16.2,0.0,1015.2
2025-03-06 06:00:00+00:00,5.1,92,4.0,0,0,0,0,0.0,0.0,0.0,0.0,10.3,18.0,0.0,1014.7
2025-03-06 07:00:00+00:00,5.1,94,4.1,62,0,0,62,2.0,1.0,26.8,1.0,10.8,18.7,0.0,1014.4
2025-03-06 08:00:00+00:00,6.4,92,5.2,98,0,0,98,82.0,45.0,370.7,37.0,11.2,19.1,0.0,1014.6
2025-03-06 09:00:00+00:00,8.8,88,6.8,87,0,0,87,223.0,148.0,550.8,75.0,10.9,20.9,0.0,1014.3
2025-03-06 10:00:00+00:00,10.9,74,6.4,0,0,0,0,363.0,275.0,700.4,88.0,10.9,24.5,0.0,1013.9
2025-03-06 11:00:00+00:00,11.9,63,5.2,85,0,1,85,477.0,396.0,816.9,81.0,14.8,33.1,0.0,1013.7
