time,temperature_2m,relative_humidity_2m,dew_point_2m,cloud_cover,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,wind_speed_10m,wind_gusts_10m,precipitation,pressure_msl
2025-03-05 00:00:00+00:00,3.7,94,2.9,6,0.0,0.0,0.0,0.0,2.2,6.1,0.0,1024.7
2025-03-05 01:00:00+00:00,3.4,95,2.7,28,0.0,0.0,0.0,0.0,4.0,9.0,0.0,1024.5
2025-03-05 02:00:00+00:00,2.7,97,2.3,38,0.0,0.0,0.0,0.0,1.8,5.8,0.0,1024.4
2025-03-05 03:00:00+00:00,2.4,97,2.0,45,0.0,0.0,0.0,0.0,1.4,4.0,0.0,1024.3
2025-03-05 04:00:00+00:00,2.7,98,2.4,45,0.0,0.0,0.0,0.0,1.8,5.0,0.0,1024.0
2025-03-05 05:00:00+00:00,2.8,99,2.6,56,0.0,0.0,0.0,0.0,2.9,6.5,0.0,1024.0
2025-03-05 06:00:00+00:00,2.1,99,1.9,33,0.0,0.0,0.0,0.0,2.9,6.5,0.0,1024.2
2025-03-05 07:00:00+00:00,1.9,98,1.6,44,10.0,1.0,19.1,9.0,1.1,4.0,0.0,1024.3
2025-03-05 08:00:00+00:00,4.1,95,3.3,34,97.0,47.0,405.3,50.0,2.2,5.8,0.0,1024.3
2025-03-05 09:00:00+00:00,5.8,89,4.2,38,239.0,142.0,539.3,97.0,5.0,11.2,0.0,1023.9
2025-03-05 10:00:00+00:00,7.7,86,5.5,15,381.0,281.0,725.5,100.0,6.1,14.8,0.0,1023.6
2025-03-05 11:00:00+00:00,9.2,81,6.1,5,485.0,385.0,803.0,100.0,6.5,15.8,0.0,1023.3
2025-03-05 12:00:00+00:00,10.6,75,6.3,0,542.0,446.0,835.9,96.0,6.5,15.8,0.0,1022.7
2025-03-05 13:00:00+00:00,12.1,56,3.6,0,543.0,450.0,824.3,93.0,8.3,20.9,0.0,1022.1
2025-03-05 14:00:00+00:00,12.6,50,2.4,0,491.0,405.0,785.3,86.0,10.4,24.8,0.0,1021.7
2025-03-05 15:00:00+00:00,12.6,53,3.2,0,388.0,313.0,703.4,75.0,11.2,26.3,0.0,1021.2
2025-03-05 16:00:00+00:00,12.0,58,4.0,0,248.0,187.0,552.3,61.0,9.0,21.2,0.0,1020.8
2025-03-05 17:00:00+00:00,11.2,64,4.6,0,89.0,52.0,255.2,37.0,6.5,15.8,0.0,1020.5
2025-03-05 18:00:00+00:00,9.9,71,4.9,0,0.0,0.0,0.0,0.0,7.6,17.3,0.0,1020.5
2025-03-05 19:00:00+00:00,8.9,76,4.9,0,0.0,0.0,0.0,0.0,6.1,14.4,0.0,1020.3
2025-03-05 20:00:00+00:00,8.2,78,4.6,0,0.0,0.0,0.0,0.0,5.8,12.6,0.0,1020.2
2025-03-05 21:00:00+00:00,7.8,75,3.6,1,0.0,0.0,0.0,0.0,6.1,14.0,0.0,1020.2
2025-03-05 22:00:00+00:00,7.4,83,4.7,0,0.0,0.0,0.0,0.0,7.2,16.9,0.0,1019.9
2025-03-05 23:00:00+00:00,7.2,85,4.9,0,0.0,0.0,0.0,0.0,8.3,19.4,0.0,1019.2
2025-03-06 00:00:00+00:00,7.2,88,5.3,0,0.0,0.0,0.0,0.0,7.9,18.4,0.0,1018.8
2025-03-06 01:00:00+00:00,7.2,88,5.3,0,0.0,0.0,0.0,0.0,8.6,19.4,0.0,1018.1
2025-03-06 02:00:00+00:00,7.1,89,5.4,0,0.0,0.0,0.0,0.0,8.6,19.4,0.0,1017.5
2025-03-06 03:00:00+00:00,6.9,90,5.4,0,0.0,0.0,0.0,0.0,7.6,17.3,0.0,1016.6
2025-03-06 04:00:00+00:00,7.0,91,5.7,0,0.0,0.0,0.0,0.0,8.6,19.4,0.0,1016.0
2025-03-06 05:00:00+00:00,7.1,88,5.2,0,0.0,0.0,0.0,0.0,8.6,19.8,0.0,1015.5
2025-03-06 06:00:00+00:00,6.9,86,4.7,0,0.0,0.0,0.0,0.0,8.3,19.1,0.0,1015.3
2025-03-06 07:00:00+00:00,6.9,83,4.2,0,13.0,3.0,57.3,10.0,9.0,20.2,0.0,1014.8
2025-03-06 08:00:00+00:00,7.8,81,4.8,0,109.0,63.0,517.0,46.0,6.8,15.5,0.0,1014.7
2025-03-06 09:00:00+00:00,9.4,75,5.2,0,259.0,184.0,683.4,75.0,9.4,22.0,0.0,1014.4
2025-03-06 10:00:00+00:00,10.9,67,5.0,23,384.0,247.0,628.2,137.0,15.5,33.8,0.0,1013.9
2025-03-06 11:00:00+00:00,11.7,63,4.9,57,460.0,219.0,451.3,241.0,16.6,37.4,0.0,1013.7
2025-03-06 12:00:00+00:00,11.8,62,4.8,92,443.0,143.0,265.2,300.0,14.8,33.1,0.0,1013.3
2025-03-06 13:00:00+00:00,12.3,61,5.0,100,352.0,156.0,282.9,196.0,15.5,34.6,0.0,1012.6
2025-03-06 14:00:00+00:00,12.3,63,5.5,46,475.0,400.0,767.6,75.0,14.8,33.5,0.0,1012.4
