block,n_train_days,selected_shift,R2_shift_-3,R2_shift_-2,R2_shift_-1,R2_shift_+0,R2_shift_+1,R2_shift_+2,R2_shift_+3
initial training pool,120,-2,0.3075946264596737,0.5013836271083658,0.4965992478993494,0.253928414726013,-0.21704334683652138,-0.638757970656312,-0.9648313768053154
T1,120,-2,0.3075946264596737,0.5013836271083658,0.4965992478993494,0.253928414726013,-0.21704334683652138,-0.638757970656312,-0.9648313768053154
T2,187,-1,0.38206484785312067,0.5721024400283259,0.5722260960511969,0.30496827401352467,-0.17681649216052597,-0.5989055579789702,-0.9387419527992058
T3,254,-2,0.42079762694552214,0.5938197606544731,0.5899085354388778,0.3408353585748285,-0.10134235386216472,-0.4952977970956576,-0.8203680965137332
T4,321,-1,0.411526935596796,0.5781688836674981,0.5867611905374155,0.3673744778802781,-0.013058379118346952,-0.3640394354886969,-0.6732235290241448
K1,313,-1,0.3799534935023777,0.55436941009677,0.577490883303627,0.3976981104157107,0.057389181608905715,-0.27499308050187365,-0.5860270653995225
K2,313,-1,0.41766853617503075,0.5920025124999275,0.6199596782967405,0.43627583458807273,0.08907134049593235,-0.24996213653381427,-0.5594252947567193
K3,313,-1,0.4027232326650938,0.5770942033226321,0.606871729915015,0.43154376772792646,0.10481273937353752,-0.22711446712369443,-0.5354429260405391
K4,313,-1,0.40826995255834087,0.5821210800174286,0.6138015051813218,0.42781495829042293,0.07971465905556419,-0.25767768779067546,-0.5704345066904821
K5,312,-1,0.3597617416771467,0.5473623270122566,0.5823107396658872,0.4018710363508685,0.06627261760876257,-0.2561069430018206,-0.5560341360949399
