mode,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct,skill_vs_SmartPersistence
TEMPORAL,Ridge,ALL,6076,0.5944373264854232,138.95102326746118,227.54054043322415,8.349189490877537,13.672292900476615,-0.13825345473781803
TEMPORAL,Ridge,daylight,2517,0.40622723552121953,242.05815535132578,329.94399207675144,14.544616939958557,19.825438103632095,-0.06309862844364189
TEMPORAL,GBM,ALL,6076,0.6852179952967771,90.13191141233906,200.4632398326691,5.4157816895532696,12.045291470049388,-0.0028014122364021787
TEMPORAL,GBM,daylight,2517,0.47451646232838773,208.28737441617298,310.3913755925327,12.515422460837849,18.650574498957752,-9.896708892886963e-05
TEMPORAL,GBM_kt,ALL,6076,0.7012337951635993,84.32764759064219,195.29698189277164,5.067019245327782,11.734865065949236,0.02304238217912835
TEMPORAL,GBM_kt,daylight,2517,0.5010736388204402,197.78535441667873,302.4463262126882,11.884384610587658,18.173178066554257,0.025500441603031665
TEMPORAL,GBM_per_hour,ALL,6076,0.586059973022302,111.52370097613648,229.8785814040273,6.70115620797861,13.81277943050451,-0.14994931872437745
TEMPORAL,GBM_per_hour,daylight,2517,0.3271398851304764,245.71849613373732,351.23070935599986,14.76455687328827,21.10449911393558,-0.13168566287090444
TEMPORAL,CNN,ALL,6076,0.6683732591367678,125.88044000489678,205.75697576837476,7.563813652332002,12.36337768058991,-0.029282905186248875
TEMPORAL,CNN,daylight,2517,0.5054141861807538,207.1441309837245,301.1278447476712,12.446728068905662,18.093954097325565,0.029748665152323772
TEMPORAL,Mean,ALL,6076,0.7035429523617902,102.50946127669843,194.54079495627818,6.159515034009481,11.689427847317479,0.02682514718114737
TEMPORAL,Mean,daylight,2517,0.5151562178073565,204.3577045002397,298.14738414881947,12.279299271578752,17.914866317151336,0.0393518816098386
TEMPORAL,InvRMSE,ALL,6076,0.7047164133172172,101.41504150896118,194.1553894104592,6.093754323447373,11.666269875125481,0.028753107768602737
TEMPORAL,InvRMSE,daylight,2517,0.5161824744054926,203.4119185360326,297.8316764757501,12.22246956246767,17.895896300780123,0.040369109994924934
TEMPORAL,RidgeStack,ALL,6076,0.7381001453683578,89.39422775602456,182.85103598489206,5.371456282758403,10.987021989053867,0.08530223662155634
TEMPORAL,RidgeStack,daylight,2517,0.572322831170864,187.52411274427396,280.01940041052745,11.267814475874163,16.825605023787475,0.09776129384773102
TEMPORAL,NNLSStack,ALL,6076,0.7194367032446549,86.21318443463397,189.25406853817213,5.180316031722914,11.371762819646307,0.05327157557674511
TEMPORAL,NNLSStack,daylight,2517,0.532399779862365,194.31989476952208,292.79755213931765,11.67615455522918,17.59340944593625,0.05658934981135766
TEMPORAL,BestSingleByVal,ALL,6076,0.6961107416719778,88.39756537006159,196.9642792562645,5.311569547683285,11.83504843486655,0.01470185973658833
TEMPORAL,BestSingleByVal,daylight,2517,0.49271358108550256,204.7943928103911,304.96970937003164,12.305538685756273,18.324801305040207,0.01736995510220274
TEMPORAL,Persistence,ALL,6076,0.4408727304844634,119.78934679784922,267.16842706780795,7.1978164095888015,16.053424948696897,-0.3364888055895532
TEMPORAL,Persistence,daylight,2517,0.0615577830680486,286.000720473526,414.79532838005167,17.185006296532592,24.92392438096438,-0.3364945423315515
TEMPORAL,Climatology,ALL,6076,0.24488256913667106,182.08033850439088,310.48244113155494,10.940712871254421,18.656046379793935,-0.5531637157077836
TEMPORAL,Climatology,daylight,2517,-0.09909357084826675,357.4008805458969,448.89774302119827,21.475247937831917,26.97304582850744,-0.4463744949969297
TEMPORAL,SmartPersistence,ALL,6076,0.6869742800589203,85.42224930961233,199.90322848230247,5.132790888845157,12.011641909425043,0.0
TEMPORAL,SmartPersistence,daylight,2517,0.47462045804191055,203.69776663951822,310.3606601014844,12.239645398424024,18.648728888547428,0.0
KFOLD,Ridge,ALL,8516,0.7968782420927115,88.85268134454715,167.59508019339185,5.338916230147013,10.07033305238798,0.17371052106350937
KFOLD,Ridge,daylight,3869,0.6647322303325334,177.77148838595377,246.91206751850794,10.68180577377034,14.836275335146281,0.178956677745015
KFOLD,GBM,ALL,8516,0.8403550566570869,67.40548820048008,148.5800930303923,4.050212661101772,8.927774133013223,0.2674595966137501
KFOLD,GBM,daylight,3869,0.7335587179392213,144.04343754309542,220.11374896392428,8.655178829807989,13.226037177932842,0.26806767470045345
KFOLD,GBM_kt,ALL,8516,0.8364218635528963,68.5369727112439,150.39924998321544,4.118200491376156,9.03708233208659,0.2584906564222039
KFOLD,GBM_kt,daylight,3869,0.7271467023023817,147.79236303856877,222.74656573169474,8.880441577881747,13.384235984763961,0.25931291172906945
KFOLD,GBM_per_hour,ALL,8516,0.8284574700759394,71.94863205122579,154.01710213906077,4.323197832439287,9.25446923927755,0.24065365804926142
KFOLD,GBM_per_hour,daylight,3869,0.7134369053326738,155.52694138678234,228.27404926209695,9.345191377794851,13.716367453232534,0.24093267018347975
KFOLD,CNN,ALL,8516,0.8367655221164825,82.5958362088865,150.24118128758244,4.962959404322475,9.027584413601488,0.2592699782256843
KFOLD,CNN,daylight,3869,0.7332036482645448,155.15279947547256,220.26036606405117,9.322710206799863,13.234847001155275,0.26758013680002846
KFOLD,Mean,ALL,8516,0.8562282306809768,68.85837745190845,141.000239745078,4.137512829061567,8.472321341778114,0.3048303417114594
KFOLD,Mean,daylight,3869,0.7603752964268509,142.6343323486544,208.74313792235446,8.570509526881574,12.542808051721996,0.30587775162162256
KFOLD,InvRMSE,ALL,8516,0.8571964498501514,68.49574499900693,140.52466043956366,4.115723230153837,8.443745073346925,0.3071750774644002
KFOLD,InvRMSE,daylight,3869,0.7619874607312299,141.86420077843894,208.03975431339978,8.524234413093753,12.500543641587814,0.30821667503237316
KFOLD,RidgeStack,ALL,8516,0.8520033363624404,77.46946942418545,143.0569642704066,4.654929951363185,8.59590433086809,0.29469012855968535
KFOLD,RidgeStack,daylight,3869,0.7613359402428705,143.3496352803025,208.32429716425574,8.613490136734402,12.517641048459716,0.3072705001048428
KFOLD,NNLSStack,ALL,8516,0.8585032751512869,68.99944188587598,139.88019729525786,4.145989007659772,8.405021033860447,0.3103524566278443
KFOLD,NNLSStack,daylight,3869,0.7649169851837325,141.03376047698038,206.75548474695552,8.474335511490178,12.423375372398672,0.3124871870494714
KFOLD,BestSingleByVal,ALL,8516,0.8353783473696521,80.76749992593159,150.8782093083675,4.853099644239571,9.06586169671509,0.25612925625010463
KFOLD,BestSingleByVal,daylight,3869,0.7301852391685553,154.54011901053173,221.5028231665638,9.285895902170354,13.3095028729814,0.2634486615041529
KFOLD,Persistence,ALL,8516,0.522739584468701,117.04139803241522,256.8980157934085,7.032699633804652,15.436303837511192,-0.2665773205562365
KFOLD,Persistence,daylight,3869,0.20215147590017302,255.12693311347826,380.89619685503845,15.329884290889462,22.88701766359734,-0.2665734892714706
KFOLD,Climatology,ALL,8516,0.6830627897100681,105.43067836702332,209.34840569826218,6.335043032707019,12.579176948006035,-0.032144767382155326
KFOLD,Climatology,daylight,3869,0.4704894274617346,229.10966638937848,310.301397370966,13.766577416235592,18.645167952073486,-0.031828426849672686
KFOLD,SmartPersistence,ALL,8516,0.7024965540100738,90.05485746427696,202.82852978970746,5.41115172715168,12.187415317631066,0.0
KFOLD,SmartPersistence,daylight,3869,0.5026528210131205,196.1420704973245,300.7296458369177,11.785644144289751,18.070027406591215,0.0
