protocol,model,label,rmse,mae,cost_r1,cost_r2,cost_r2_tuned,scale_r2,saving_r2_pct,cost_r3,cost_r3_tuned,scale_r3,saving_r3_pct,cost_r5,cost_r5_tuned,scale_r5,saving_r5_pct,skill_r1,skill_r2,skill_r3,skill_r5
Random day-fold,Persistence,Persistence,257.06759050499755,117.21702089743961,0.5376612678876033,0.7957059232630261,0.6636841044350081,0.6500000000000004,16.591785352888124,1.0537505786384491,0.742590959659079,0.5080000000000002,29.528773249303402,1.5698398893892949,0.823373185560504,0.34800000000000014,47.55049918620582,-0.3034495559234751,-0.2884468190197318,-0.28092417324665986,-0.27338728889558017
Random day-fold,Climatology,Hourly climatology,209.3484056982622,105.43067836702332,0.48359864268058755,0.7245029886618053,0.6213553891104443,0.6720000000000004,14.237015052467894,0.965407334643023,0.6987236051005609,0.5440000000000003,27.62395933536939,1.4472160266054586,0.7794143024547006,0.3960000000000002,46.14388673660085,-0.17238580068032627,-0.17315146691829053,-0.173535385927573,-0.17392003160416425
Random day-fold,SmartPersistence,Smart persistence,202.44740726722895,89.92831396102095,0.412491043818476,0.6175698612600947,0.5022167092665373,0.7340000000000003,18.678559176801457,0.8226486787017132,0.5670127867228364,0.6460000000000004,31.074734403307616,1.2328063135849507,0.6440352928221771,0.5320000000000003,47.758598757549464,0.0,0.0,0.0,0.0
Random day-fold,Ridge,Ridge regression,167.59508019339185,88.85268134454718,0.40755723819940504,0.6257550752598533,0.57052506314458,0.7640000000000005,8.82613889984645,0.8439529123203017,0.6621529060060924,0.6040000000000003,21.54148693134807,1.280348586441198,0.7662170350443603,0.4580000000000003,40.15559175379696,0.011961000591426574,-0.013253907797665887,-0.025897122514328075,-0.0385642678272764
Random day-fold,GBM,Gradient boosting,148.5800930303923,67.40548820048008,0.309181379726096,0.4635654491854863,0.4332706430493592,0.8620000000000007,6.535173445164431,0.6179495186448767,0.514731906056709,0.7620000000000005,16.703243464695497,0.9267176575636573,0.6183269576805709,0.6180000000000003,33.27774078394559,0.25045310835365253,0.24937164478910367,0.24882937924350457,0.24828608731829094
Random day-fold,GBM_kt,Clearness-index GBM,150.39924998321544,68.5369727112439,0.3143713716913819,0.4506466303563486,0.42866476862681,0.8820000000000003,4.877848906172103,0.5869218890213154,0.5042838037593568,0.7880000000000005,14.079911962349287,0.8594724063512488,0.6023138719460498,0.6480000000000004,29.920510827907083,0.2378710364685479,0.2702904422232564,0.28654612325205076,0.3028325724160692
Random day-fold,GBM_per_hour,Per-hour GBM,154.01710213906074,71.94863205122577,0.33002026868851847,0.49715223061740005,0.46342194887548893,0.8340000000000005,6.784698863771039,0.6642841925462816,0.5445871944360277,0.7080000000000004,18.018944218955575,0.9985481164040447,0.6389293365175359,0.5680000000000003,36.01416636601971,0.19993349277724015,0.19498624883829907,0.1925056105424725,0.19002027698876123
Random day-fold,CNN,CNN,150.2411812743327,82.59583630640415,0.36433962010386584,0.556910864418111,0.4994048085378957,0.8000000000000005,10.325899448972065,0.7494821087323562,0.5886007249435444,0.7040000000000004,21.46567368511572,1.1346245973608466,0.711539903959617,0.5720000000000003,37.28851766349248,0.11673325866391426,0.09822208084801065,0.08894023884512514,0.07964082852447085
Random day-fold,RidgeStack,Ridge stacking,143.0569642704066,77.46946942418546,0.35534372767954636,0.5685518415847143,0.5034890752058019,0.8060000000000006,11.443594342701296,0.7817599554898824,0.6110900292918885,0.6920000000000004,21.831500193821675,1.2081761833002183,0.7505499404498218,0.5440000000000003,37.877442808081035,0.13854195623233545,0.07937242853037496,0.049703748720973495,0.019978913162043366
Random day-fold,NNLSStack,NNLS stacking,138.5602767966598,69.30365517696127,0.3129571960152425,0.4735124978173922,0.4393019269267451,0.8540000000000006,7.22485067412946,0.6340677996195418,0.5247087595486313,0.7640000000000005,17.247215540125048,0.9551784032238412,0.6371354719035557,0.6180000000000003,33.29670459956513,0.2412994155747903,0.23326488625718667,0.2292362267934177,0.22519994203613292
Rolling-origin,Persistence,Persistence,267.16842706780795,119.78934679784922,0.6179902080164783,0.9192261015501587,0.7891582137343187,0.5325000000000002,14.14971654922515,1.220461995083839,0.8677084550018589,0.3850000000000002,28.903279373131795,1.8229337821512,0.9010345268831531,0.26500000000000007,50.57228431962767,-0.40537689711581737,-0.3959033175794473,-0.39115484317462945,-0.3863985533701071
Rolling-origin,Climatology,Hourly climatology,363.5705615614675,286.94318500295566,1.4803326283107445,2.3881781852109327,1.19665162654569,0.2,49.892699214987715,3.29602374211112,1.3512260677602286,0.2,59.00435878247766,5.111714855911496,1.660374950189306,0.2,67.51824002332313,-2.36643728150978,-2.626600513285032,-2.7570030124055336,-2.8876201378599364
Rolling-origin,SmartPersistence,Smart persistence,199.29446676230725,85.23645652898288,0.4397327217237937,0.6585170261964374,0.530890294777493,0.7075000000000004,19.380931144045004,0.8773013306690809,0.6010286658715512,0.6125000000000003,31.49119409027091,1.3148699396143682,0.6849944169012357,0.5025000000000002,47.904017251916606,0.0,0.0,0.0,0.0
Rolling-origin,Ridge,Ridge regression,227.54054043322415,138.95102326746118,0.7168448119019432,1.1004113384719398,0.9083288261606363,0.44000000000000017,17.455519185946812,1.4839778650419366,0.9890735294290086,0.26500000000000007,33.34984619861174,2.2511109181819298,1.0417120431199807,0.2,53.72453508593432,-0.6301830100153656,-0.6710446270886308,-0.6915258340143733,-0.7120407504655153
Rolling-origin,GBM,Gradient boosting,200.4632398326691,90.13191141233906,0.4649882495530421,0.6244157745985875,0.6258377476044693,0.7875000000000004,-0.22772855262919825,0.7838432996441329,0.7180972146796707,0.6450000000000004,8.387656690350115,1.1026983497352238,0.8364587823153906,0.5000000000000002,24.14436980736951,-0.057433815091686435,0.05178492011788516,0.10652899723025777,0.16136317630120212
Rolling-origin,GBM_kt,Clearness-index GBM,195.29698189277164,84.32764759064219,0.435044199414709,0.5418696297732598,0.5416796770203756,0.9175000000000006,0.0350550653602292,0.6486950601318107,0.6209283534485097,0.7800000000000005,4.280394347023226,0.8623459208489123,0.721037854688074,0.6225000000000003,16.386471222793222,0.010662209286371072,0.17713649272962206,0.26057896249048407,0.344158768203473
Rolling-origin,GBM_per_hour,Per-hour GBM,229.8785814040273,111.52370097613651,0.5753479504426813,0.7765618498806021,0.8619838325973864,0.6875000000000004,-11.000023079928297,0.9777757493185226,0.9781086756992968,0.5175000000000003,-0.034049359580275926,1.380203548194364,1.065392804270831,0.3525000000000001,22.809008449179885,-0.3084037689696213,-0.17925857493159425,-0.11452669127130366,-0.049688266962097494
Rolling-origin,CNN,CNN,205.7569756381604,125.8804398977526,0.6389616800988613,0.9721797801215419,1.0210937405829406,0.5275000000000003,-5.031369861990279,1.3053978801442223,1.1133362068664645,0.3725000000000001,14.712883803407015,1.971834080189583,1.1940729318304,0.26250000000000007,39.443539199018446,-0.4530683038416412,-0.4763168474728825,-0.48796979385480954,-0.49964191954064496
Rolling-origin,RidgeStack,Ridge stacking,182.85103598489206,89.39422775602456,0.46118255824239923,0.6305804228425167,0.63832982514131,0.8150000000000005,-1.2289316347406882,0.799978287442634,0.7795553485660333,0.6575000000000004,2.5529366480543705,1.1387740166428688,0.9894290694969087,0.4675000000000002,13.114537648675228,-0.04877925944314576,0.04242350955643648,0.08813738281631911,0.13392649543965207
Rolling-origin,NNLSStack,NNLS stacking,193.87856124468715,88.04910445652511,0.45314957171807063,0.5827360158264662,0.5983240840254431,0.8775000000000005,-2.674979368980508,0.7123224599348618,0.6989848318636249,0.7325000000000004,1.8724143658837455,0.9714953481516528,0.8422622082214761,0.5575000000000003,13.302497039852332,-0.030511375050011447,0.11507828553451183,0.18805268494052851,0.2611471911536908
